taxon_id,taxon,categoria,estatus,countFilteredRegistro,id_registro,latitud,longitud,altitud,estado,municipio,localidad,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,ca618e11bd60a1f59a42185d0bd4e3db,19.27278,-98.8327797,2277,MEXICO,CHALCO,"San Martín Cuautlalpan, cerca a terreno ejidal (Predio Ceflalpa)",639.3663,15.5994,['amarillo medio'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,d7b87d36bf2c9f1158c9229385e52ff1,20.0968333,-98.1371666,2193,PUEBLA,AHUAZOTEPEC,Santa Félix,776.7933,13.9441,['blanco cremoso'],14,13.9333333333333
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,473041ce6f337abcef83408966108386,19.3575,-97.910553,2440,TLAXCALA,HUAMANTLA,Beníto Juárez,665.296,14.0739,['blanco cremoso'],14.4,16.03
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,6c65d5ddbeb77b667f8d91ab139471e4,20.2144397,-100.1152797,2593,QUERETARO,AMEALCO DE BONFIL,San Miguel Deheti,808.0176,14.5436,['blanco'],16,15.9
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,17a77b740f052243fd891f0fd7d7eed2,21.1147197,-99.98833,1486,QUERETARO,PEÑAMILLER,El Agua Caliente,415.0477,20.1857,"['blanco', 'rojo']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,1008106b14a8ea904da41582e2dae769,19.15286,-98.85523,2382,MEXICO,TENANGO DEL AIRE,"San Mateo Tepopula, aledaño al Ejido San Mateo Tepopula",741.3479,15.1497,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,5fc04aa76fa8732714592a8e3e6a12b0,19.15286,-98.85523,2382,MEXICO,TENANGO DEL AIRE,"San Mateo Tepopula, aledaño al Ejido San Mateo Tepopula",741.3479,15.1497,['rojo'],13.5,12.3
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,b04ae75d6ba7b6b833526ef4450f0b42,19.15286,-98.85523,2382,MEXICO,TENANGO DEL AIRE,"San Mateo Tepopula, aledaño al Ejido San Mateo Tepopula",741.3479,15.1497,"['blanco', 'blanco cremoso']",14.5,19.6
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,441e3442cc6b5304074d5074142c0758,19.61111,-99.90639,2650,MEXICO,SAN FELIPE DEL PROGRESO,San Pedro el Alto,761.1743,12.7397,['blanco'],14,17.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,d7a390614cec902f29d8f8cbab131b9d,18.3275,-97.3774997,1265,PUEBLA,SAN GABRIEL CHILAC,San Gabriel Chílac,373.1963,21.4104,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,61ee5838a81925d7ec108b19eba255f8,19.6630555,-97.2941666,2403,VERACRUZ DE IGNACIO DE LA LLAVE,JALACINGO,Orilla del Monte,638.6398,12.6463,"['blanco', 'amarillo claro']",14,14.7
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,3ecd11560b82e4e09c8332a2c0c617dc,19.5149722,-97.6468333,2370,PUEBLA,LIBRES,Cosmaco,528.2136,13.7404,['blanco cremoso'],14.6,17.04
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,e591e7d44f593eff229ef4d6831d462b,19.5688897,-99.76694,2551,MEXICO,IXTLAHUACA,Ixtlahuaca,755.9001,13.2369,"['blanco', 'amarillo claro']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,dc8e5a32ef829b14198f381ee6cddf46,17.2694397,-97.6791697,2073,OAXACA,HEROICA CIUDAD DE TLAXIACO,Tlaxiaco,812.0018,16.9329,"['blanco', 'amarillo claro']",15,18
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,4e47b20a0eff11a6914ec123bc7e6e74,19.8186091,-99.7655561,2770,MEXICO,TIMILPAN,Santiaguito Maxdá,808.1585,12.1802,"['blanco', 'rojo']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,8e83c534cd8d4e27e52996d0f03e8104,20.4783297,-99.9375,1898,QUERETARO,TEQUISQUIAPAN,San Nicolas,457.2397,17.571,['blanco'],16,14.3
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,6f2e3473b7e1d96983e3701e8dc148dc,19.2597008,-98.4499969,2296,PUEBLA,SAN MARTIN TEXMELUCAN,San Juan Tuxco,706.7581,14.9353,no disponible,no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,76d80740b2464fc2a9b58c417c490cbf,19.7483297,-99.2999997,2543,MEXICO,TEPOTZOTLAN,Las Cruces,820.6234,14.2838,['blanco'],16,18.7
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,e2ab523bb515ad09b51bbe22dd8468de,19.7860497,-101.70139,1994,MICHOACAN DE OCAMPO,COENEO,"En el centro de los Ejidos Cortijo Viejo, aledaño a la localidad Cortijo Viejo",837.8022,16.2597,['blanco'],25,16
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,3d14ef684c2494413e44f80b3cb92735,19.5124997,-101.765,2253,MICHOACAN DE OCAMPO,PATZCUARO,"Santa María Huiramangaro (San Juan Tumbio), aledaño a terreno agrícola",1044.4618,15.3831,['blanco'],no disponible,no disponible
